id,date,home_team,home_team_score,visit_team,visit_team_score
340119007,2013-01-19,Denver,26,New England Patriots,16
330912017,2013-09-12,New England Patriots,13,New York,10
330922017,2013-09-22,New England Patriots,23,Tampa Bay,3
330929001,2013-09-29,Atlanta,23,New England Patriots,30
331006004,2013-10-06,Cincinnati,13,New England Patriots,6
331013017,2013-10-13,New England Patriots,30,New Orleans,27
331020020,2013-10-20,New York,30,New England Patriots,27
331103017,2013-11-03,New England Patriots,55,Pittsburgh,31
331118029,2013-11-18,Carolina,24,New England Patriots,20
331124017,2013-11-24,New England Patriots,34,Denver,31
331201034,2013-12-01,Houston,31,New England Patriots,34
331208017,2013-12-08,New England Patriots,27,Cleveland,26
331222033,2013-12-22,Baltimore,7,New England Patriots,41
330816017,2013-08-16,New England Patriots,25,Tampa Bay,21
330822008,2013-08-22,Detroit,40,New England Patriots,9
330908020,2013-09-08,New York Jets,18,Tampa Bay,17
330929010,2013-09-29,Tennessee,38,New York Jets,13
331007001,2013-10-07,Atlanta,28,New York Jets,30
331013020,2013-10-13,New York Jets,6,Pittsburgh,19
331027004,2013-10-27,Cincinnati,49,New York Jets,9
331103020,2013-11-03,New York Jets,26,New Orleans,20
331124033,2013-11-24,Baltimore,19,New York Jets,3
331208020,2013-12-08,New York Jets,37,Oakland,27
331215029,2013-12-15,Carolina,30,New York Jets,20
331222020,2013-12-22,New York Jets,24,Cleveland,13
330809008,2013-08-09,Detroit,26,New York Jets,17
330817020,2013-08-17,New York Jets,37,Jacksonville,13
330908014,2013-09-08,St. Louis,27,Arizona Cardinals,24
330915022,2013-09-15,Arizona Cardinals,25,Detroit,21
330922018,2013-09-22,New Orleans,31,Arizona Cardinals,7
330929027,2013-09-29,Tampa Bay,10,Arizona Cardinals,13
331006022,2013-10-06,Arizona Cardinals,22,Carolina,6
331013025,2013-10-13,San Francisco,32,Arizona Cardinals,20
331017022,2013-10-17,Arizona Cardinals,22,Seattle,34
331027022,2013-10-27,Arizona Cardinals,27,Atlanta,13
331110022,2013-11-10,Arizona Cardinals,27,Houston,24
331117030,2013-11-17,Jacksonville,14,Arizona Cardinals,27
331124022,2013-11-24,Arizona Cardinals,40,Indianapolis,11
331208022,2013-12-08,Arizona Cardinals,30,St. Louis,10
331215010,2013-12-15,Tennessee,34,Arizona Cardinals,37
331222026,2013-12-22,Seattle,10,Arizona Cardinals,17
331229022,2013-12-29,Arizona Cardinals,20,San Francisco,23
330809009,2013-08-09,Green Bay,0,Arizona Cardinals,17
330824022,2013-08-24,Arizona Cardinals,7,San Diego,24
330829007,2013-08-29,Denver,24,Arizona Cardinals,32
340105009,2013-01-05,Green Bay,20,San Francisco 49ers,23
340112029,2013-01-12,Carolina,10,San Francisco 49ers,23
340119026,2013-01-19,Seattle,23,San Francisco 49ers,17
330908025,2013-09-08,San Francisco 49ers,34,Green Bay,28
330915026,2013-09-15,Seattle,29,San Francisco 49ers,3
330922025,2013-09-22,San Francisco 49ers,7,Indianapolis,27
330926014,2013-09-26,St. Louis,11,San Francisco 49ers,35
331006025,2013-10-06,San Francisco 49ers,34,Houston,3
331020010,2013-10-20,Tennessee,17,San Francisco 49ers,31
331027030,2013-10-27,Jacksonville,10,San Francisco 49ers,42
331110025,2013-11-10,San Francisco 49ers,9,Carolina,10
331117018,2013-11-17,New Orleans,23,San Francisco 49ers,20
331201025,2013-12-01,San Francisco 49ers,23,St. Louis,13
331208025,2013-12-08,San Francisco 49ers,19,Seattle,17
331215027,2013-12-15,Tampa Bay,14,San Francisco 49ers,33
331223025,2013-12-23,San Francisco 49ers,34,Atlanta,24
330808025,2013-08-08,San Francisco 49ers,6,Denver,10
330816012,2013-08-16,Kansas City,13,San Francisco 49ers,15
330825025,2013-08-25,San Francisco 49ers,34,Minnesota,14
330829024,2013-08-29,San Diego,6,San Francisco 49ers,41
340111026,2013-01-11,Seattle Seahawks,23,New Orleans,15
340202007,2013-02-02,Denver,8,Seattle Seahawks,43
330908029,2013-09-08,Carolina,7,Seattle Seahawks,12
330922026,2013-09-22,Seattle Seahawks,45,Jacksonville,17
330929034,2013-09-29,Houston,20,Seattle Seahawks,23
331006011,2013-10-06,Indianapolis,34,Seattle Seahawks,28
331013026,2013-10-13,Seattle Seahawks,20,Tennessee,13
331028014,2013-10-28,St. Louis,9,Seattle Seahawks,14
331103026,2013-11-03,Seattle Seahawks,27,Tampa Bay,24
331110001,2013-11-10,Atlanta,10,Seattle Seahawks,33
331117026,2013-11-17,Seattle Seahawks,41,Minnesota,20
331202026,2013-12-02,Seattle Seahawks,34,New Orleans,7
331229026,2013-12-29,Seattle Seahawks,27,St. Louis,9
330808024,2013-08-08,San Diego,10,Seattle Seahawks,31
330817026,2013-08-17,Seattle Seahawks,40,Denver,10
330823009,2013-08-23,Green Bay,10,Seattle Seahawks,17
330829026,2013-08-29,Seattle Seahawks,22,Oakland,6
330915001,2013-09-15,Atlanta,31,St. Louis Rams,24
331006014,2013-10-06,St. Louis Rams,34,Jacksonville,20
331013034,2013-10-13,Houston,13,St. Louis Rams,38
331020029,2013-10-20,Carolina,30,St. Louis Rams,15
331103014,2013-11-03,St. Louis Rams,21,Tennessee,28
331110011,2013-11-10,Indianapolis,8,St. Louis Rams,38
331124014,2013-11-24,St. Louis Rams,42,Chicago,21
331215014,2013-12-15,St. Louis Rams,27,New Orleans,16
331222014,2013-12-22,St. Louis Rams,23,Tampa Bay,13
330808005,2013-08-08,Cleveland,27,St. Louis Rams,19
330817014,2013-08-17,St. Louis Rams,7,Green Bay,19
330824007,2013-08-24,Denver,27,St. Louis Rams,26
330829014,2013-08-29,St. Louis Rams,24,Baltimore,21
340112007,2013-01-12,Denver Broncos,24,San Diego,17
330905007,2013-09-05,Denver Broncos,49,Baltimore,27
330923007,2013-09-23,Denver Broncos,37,Oakland,21
331013007,2013-10-13,Denver Broncos,35,Jacksonville,19
331020011,2013-10-20,Indianapolis,39,Denver Broncos,33
331110024,2013-11-10,San Diego,20,Denver Broncos,28
331117007,2013-11-17,Denver Broncos,27,Kansas City,17
331201012,2013-12-01,Kansas City,28,Denver Broncos,35
331208007,2013-12-08,Denver Broncos,51,Tennessee,28
331212007,2013-12-12,Denver Broncos,20,San Diego,27
331222034,2013-12-22,Houston,13,Denver Broncos,37
331229013,2013-12-29,Oakland,14,Denver Broncos,34
340104011,2013-01-04,Indianapolis,45,Kansas City Chiefs,44
330908030,2013-09-08,Jacksonville,2,Kansas City Chiefs,28
331006010,2013-10-06,Tennessee,17,Kansas City Chiefs,26
331013012,2013-10-13,Kansas City Chiefs,24,Oakland,7
331020012,2013-10-20,Kansas City Chiefs,17,Houston,16
331027012,2013-10-27,Kansas City Chiefs,23,Cleveland,17
331124012,2013-11-24,Kansas City Chiefs,38,San Diego,41
331215013,2013-12-15,Oakland,31,Kansas City Chiefs,56
331222012,2013-12-22,Kansas City Chiefs,7,Indianapolis,23
