id,date,home_team,home_team_score,visit_team,visit_team_score
320916017,2012-09-16,New England Patriots,18,Arizona,20
320923033,2012-09-23,Baltimore,31,New England Patriots,30
321007017,2012-10-07,New England Patriots,31,Denver,21
321014026,2012-10-14,Seattle,24,New England Patriots,23
321021017,2012-10-21,New England Patriots,29,New York,26
321028014,2012-10-28,St. Louis,7,New England Patriots,45
321118017,2012-11-18,New England Patriots,59,Indianapolis,24
321122020,2012-11-22,New York,19,New England Patriots,49
321210017,2012-12-10,New England Patriots,42,Houston,14
321216017,2012-12-16,New England Patriots,34,San Francisco,41
321223030,2012-12-23,Jacksonville,16,New England Patriots,23
320809017,2012-08-09,New England Patriots,7,New Orleans,6
320824027,2012-08-24,Tampa Bay,30,New England Patriots,28
320916023,2012-09-16,Pittsburgh,27,New York Jets,10
320930020,2012-09-30,New York Jets,0,San Francisco,34
321008020,2012-10-08,New York Jets,17,Houston,23
321014020,2012-10-14,New York Jets,35,Indianapolis,9
321111026,2012-11-11,Seattle,28,New York Jets,7
321118014,2012-11-18,St. Louis,13,New York Jets,27
321202020,2012-12-02,New York Jets,7,Arizona,6
321209030,2012-12-09,Jacksonville,10,New York Jets,17
321217010,2012-12-17,Tennessee,14,New York Jets,10
321223020,2012-12-23,New York Jets,17,San Diego,27
320810004,2012-08-10,Cincinnati,17,New York Jets,6
320826020,2012-08-26,New York Jets,12,Carolina,17
320909022,2012-09-09,Arizona Cardinals,20,Seattle,16
321004014,2012-10-04,St. Louis,17,Arizona Cardinals,3
321021016,2012-10-21,Minnesota,21,Arizona Cardinals,14
321029022,2012-10-29,Arizona Cardinals,3,San Francisco,24
321104009,2012-11-04,Green Bay,31,Arizona Cardinals,17
321118001,2012-11-18,Atlanta,23,Arizona Cardinals,19
321125022,2012-11-25,Arizona Cardinals,17,St. Louis,31
321209026,2012-12-09,Seattle,58,Arizona Cardinals,0
321216022,2012-12-16,Arizona Cardinals,38,Detroit,10
321223022,2012-12-23,Arizona Cardinals,13,Chicago,28
321230025,2012-12-30,San Francisco,27,Arizona Cardinals,13
320805018,2012-08-05,New Orleans,17,Arizona Cardinals,10
320810012,2012-08-10,Kansas City,27,Arizona Cardinals,17
320817022,2012-08-17,Arizona Cardinals,31,Oakland,27
320823010,2012-08-23,Tennessee,32,Arizona Cardinals,27
320830022,2012-08-30,Arizona Cardinals,13,Denver,16
330112025,2012-01-12,San Francisco 49ers,45,Green Bay,31
330120001,2012-01-20,Atlanta,24,San Francisco 49ers,28
330203025,2012-02-03,San Francisco 49ers,31,Baltimore,34
320909009,2012-09-09,Green Bay,22,San Francisco 49ers,30
320916025,2012-09-16,San Francisco 49ers,27,Detroit,19
320923016,2012-09-23,Minnesota,24,San Francisco 49ers,13
321018025,2012-10-18,San Francisco 49ers,13,Seattle,6
321119025,2012-11-19,San Francisco 49ers,32,Chicago,7
321125018,2012-11-25,New Orleans,21,San Francisco 49ers,31
321202014,2012-12-02,St. Louis,16,San Francisco 49ers,13
321223026,2012-12-23,Seattle,42,San Francisco 49ers,13
320810025,2012-08-10,San Francisco 49ers,17,Minnesota,6
320818034,2012-08-18,Houston,20,San Francisco 49ers,9
320826007,2012-08-26,Denver,24,San Francisco 49ers,29
320830025,2012-08-30,San Francisco 49ers,35,San Diego,3
330113001,2012-01-13,Atlanta,30,Seattle Seahawks,28
320924026,2012-09-24,Seattle Seahawks,14,Green Bay,12
320930014,2012-09-30,St. Louis,19,Seattle Seahawks,13
321007029,2012-10-07,Carolina,12,Seattle Seahawks,16
321028008,2012-10-28,Detroit,28,Seattle Seahawks,24
321104026,2012-11-04,Seattle Seahawks,30,Minnesota,20
321202003,2012-12-02,Chicago,17,Seattle Seahawks,23
321230026,2012-12-30,Seattle Seahawks,20,St. Louis,13
320811026,2012-08-11,Seattle Seahawks,27,Tennessee,17
320818007,2012-08-18,Denver,10,Seattle Seahawks,30
320824012,2012-08-24,Kansas City,14,Seattle Seahawks,44
320830026,2012-08-30,Seattle Seahawks,21,Oakland,3
320909008,2012-09-09,Detroit,27,St. Louis Rams,23
320923003,2012-09-23,Chicago,23,St. Louis Rams,6
321021014,2012-10-21,St. Louis Rams,20,Green Bay,30
321216014,2012-12-16,St. Louis Rams,22,Minnesota,36
321223027,2012-12-23,Tampa Bay,13,St. Louis Rams,28
320812011,2012-08-12,Indianapolis,38,St. Louis Rams,3
320818014,2012-08-18,St. Louis Rams,31,Kansas City,17
320830014,2012-08-30,St. Louis Rams,31,Baltimore,17
330112007,2012-01-12,Denver Broncos,35,Baltimore,38
320909007,2012-09-09,Denver Broncos,31,Pittsburgh,19
320917001,2012-09-17,Atlanta,27,Denver Broncos,21
320923007,2012-09-23,Denver Broncos,25,Houston,31
320930007,2012-09-30,Denver Broncos,37,Oakland,6
